name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Set-8820-57,Set-8820-57-VL,Embarked the Royal statement with this splendid Necklace Set.,,,,,,,,,,,,,Vilandi Set,
Set-9204-72,Set-9204-72-AD,Inspired by Emperor Era this exquisite green stone necklace set wills double your beauty.,,,,,,,,,,,,,American Daimond Pendent ,
Set-9681-57,Set-9681-57-VL,Crafted the real beauty in this gorgeous Necklace design.,,,,,,,,,,,,,Vilandi Set,
Set-2069-16,Set-2069-16-,"Dynasty in its look, a highly creative traditional Necklace to suite your matching standards.",,,,,,,,,,,,,Vilandi Pendent Set ,
Set-4363-16,Set-4363-16-VL,This Multi Precious stone embedded in this stunning necklace set.,,,,,,,,,,,,,Vilandi Set,
Set-8563-16,Set-8563-16-VL,"Dynasty in its look, a highly creative traditional Necklace to suite your matching standards.",,,,,,,,,,,,,Vilandi Set,
Set-8543-57,Set-8543-57-VL,Second look guaranteed for this marvelous Necklace Set crafted with beautiful American diamond & other precious stone.,,,,,,,,,,,,,Vilandi Set,
Set-9171-56,Set-9171-56-VL,A contemporary design with the blend of Antique. This Necklace will go on anything you wear.,,,,,,,,,,,,,Vilandi Set ,
Set-8791-57 ,Set-8791-57-VL,"Synonym of Royal design, Necklace Set with full of elegance can charm anyone.",,,,,,,,,,,,,Vilandi Set,
Set -4359-16,Set-4359-16-VL ,"Classy perfect for class beauty, Necklace Set embedded with beautiful stones & other precious design clear all eyes with its fascinating look.",,,,,,,,,,,,,Vilandi Set,
Set-9021-24,Set-9021-24-VL,"Sophistication is her attitude, Necklace Set with exclusive work is a worth for the beauty.",,,,,,,,,,,,,Vilandi Set,
Set-4321-68,Set-4321-68-VL,Jaw dropping design of this beautiful dark & gold necklace is unique as you!,,,,,,,,,,,,,Vilandi Set ,
Set-9044-24,Set-9044-24-VL,Hierarchy in its design with selective beautiful diamond transforms this Necklace Set into eye catching jewellery.,,,,,,,,,,,,,Vilandi Set ,
Set-8766-57,Set-8766-57-VL ,Rectangle diamond cut shaped of diamond & stone embedded together in this trendy necklace set.,,,,,,,,,,,,,Vilandi Set ,
Set-9172-56,Set-9172-56-VL,"Piece of Art an extra- ordinary design, this Necklace Set will enhance your beauty.",,,,,,,,,,,,,Vilandi Set ,
Set-9155-55,Set-9155-55-VL,Elegant design makes this Necklace Set stunning.,,,,,,,,,,,,,Vilandi Set ,
Set-9045-24,Set-9045-24-VL,Necklace set with classy design which can swoon anyone with its look.,,,,,,,,,,,,,Vilandi Set ,
Set-8476-56,Set-8476-56-VL,Inspired by the world's beautiful white shade design this Necklace set is perfect for a sophisticated party.,,,,,,,,,,,,,Vilandi Set ,
Set-8801-57,Set-8801-57-VL ,Design of this Necklace set is crafted for the enchanting beauty.,,,,,,,,,,,,,Vilandi Set ,
Set-8562-16,Set-8562-16-VL ,Every single pearl is circled with American diamond to give this Necklace set a classy look.,,,,,,,,,,,,,Vilandi Set ,
Set-8811-57,Set-8811-57-VL ,Dazzling multi stone necklace with floral design to charm anyone in the party.,,,,,,,,,,,,,Vilandi Set ,
Set-9030-24,Set-9030-24-VL ,Forget Italy fashion or Paris fashion this Stunning Necklace set will take the world behind you.,,,,,,,,,,,,,Vilandi Set ,
Set-8796-57,Set-8796-57-VL ,"Ecstasy, Elegance or any synonym of this will described this charming Necklace set.",,,,,,,,,,,,,Vilandi Set ,
Set-9053-24,Set-9053-24-VL ,Beauty with perfection can be seen in this elegantly designed necklace set.,,,,,,,,,,,,,Vilandi Set ,
Set-9335-56,Set-9335-56-VL ,Cuteness is filled in this beautiful elegant necklace set.,,,,,,,,,,,,,Vilandi Set ,
Set-8559-57,Set-8559-57-VL ,Touch of Queen & elegance that personified this stunning necklace set.,,,,,,,,,,,,,Vilandi Set ,
Set-8804-57,Set-8804-57-VL ,Beauty with perfection can be seen in this elegantly designed necklace set.,,,,,,,,,,,,,Vilandi Set ,
Set-8816-57,Set-8816-57-VL ,A synonym of highness is this beautifully crafted necklace set.,,,,,,,,,,,,,Vilandi Set,
Set-9170-56,Set-9170-56-VL ,Especially handcrafted for the real occasion this exquisite necklace set is worth wearing.,,,,,,,,,,,,,Vilandi Set,
Set-8809-57,Set-8809-57-VL,"Stuck at first sight so do the others, the unique necklace set will enhance your beauty for sure.",,,,,,,,,,,,,Vilandi Set,
