name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
American Diamond Pendant Set PDS-1815-78-AD,PDS-1815-78-AD,Spherical micropave pendant set in dome shape in 92.5 sterling silver,,,,,1,5995,5995,,,,,"999PDS181578AD.jpg, 999PDS181578AD01.Jpg, 999PDS181578AD02.Jpg",AD PENDANT SET,Spherical micropave pendant set in dome shape in 92.5 sterling silver
American Diamond Pendant Set PDS-1793-78-AD,PDS-1793-78-AD,Elegant pave pendant set in 92.5 sterling silver,,,,,1,5650,5650,,,,,"999PDS179378AD.jpg, 999PDS179378AD01.Jpg, 999PDS179378AD02.Jpg",AD PENDANT SET,Elegant pave pendant set in 92.5 sterling silver
American Diamond PDS-2543-55,PDS-2543-55-AD,Jaw dropping design of this beautiful dark & gold necklace is unique as you!,,,,,1,6100,6100,,,,,"PDS-2543-55-01 (1).JPG, PDS-2543-55-01 (3).JPG, PDS-2543-55-01 (4).JPG",AD PENDANT SET,Jaw dropping design of this beautiful dark & gold necklace is unique as you!
American Diamond-2426-55,PDS-2426-55-AD,Unique design & elegant style make this Necklace set above all jewellery.,,,,,1,7500,7500,,,,,"PDS-2426-55-01 (1).JPG, PDS-2426-55-01 (3).JPG, PDS-2426-55-01 (4).JPG",AD PENDANT SET,Unique design & elegant style make this Necklace set above all jewellery.
American Diamond-2388-55,PDS-2388-55-AD,"Dynasty in its look, a highly creative traditional Necklace to suite your matching standards.",,,,,1,6290,6290,,,,,"PDS-2388-55-01 (1).JPG, PDS-2388-55-01 (3).JPG, PDS-2388-55-01 (4).JPG",AD PENDANT SET,"Dynasty in its look, a highly creative traditional Necklace to suite your matching standards."
American Diamond-2537-16,PDS-2537-16-AD,So royal & so beautiful a masterpiece design of necklace which is elegantly belongs to you.,,,,,1,6000,6000,,,,,"PDS-2537-16-01 (1).JPG, PDS-2537-16-01 (3).JPG, PDS-2537-16-01 (4).JPG",AD PENDANT SET,So royal & so beautiful a masterpiece design of necklace which is elegantly belongs to you.
American Diamond-2536-16,PDS-2536-16-AD,"Splendid in its own design, this emperor era look necklace is the dream of every woman.",,,,,1,8500,8500,,,,,"PDS-2536-16-01 (1).JPG, PDS-2536-16-01 (3).JPG",AD PENDANT SET,"Splendid in its own design, this emperor era look necklace is the dream of every woman."
American Diamond-2428-55,PDS-2428-55-AD,"Magical feel, isn't it? This Mind blowing necklace deserves to be worn around your neck.",,,,,1,13500,13500,,,,,"PDS-2428-55-01 (5).JPG, PDS-2428-55-01 (7).JPG, PDS-2428-55-01 (8).JPG",AD PENDANT SET,"Magical feel, isn't it? This Mind blowing necklace deserves to be worn around your neck."
American Diamond-2377-16,PDS-2377-16-AD,This Multi-colored beads Necklace set will create the aura of elegance around you.,,,,,1,9750,9750,,,,,"PDS-2377-16-01 (1).JPG, PDS-2377-16-01 (3).JPG, PDS-2377-16-01 (4).JPG",AD PENDANT SET,This Multi-colored beads Necklace set will create the aura of elegance around you.
American Diamond-2159-24,PDS-2159-24-AD,A perfect look of rich Mughal era gives this necklace an elite look.,,,,,1,17000,17000,,,,,"PDS-2159-24-01 (1).JPG, PDS-2159-24-01 (3).JPG, PDS-2159-24-01 (4).JPG",AD PENDANT SET,A perfect look of rich Mughal era gives this necklace an elite look.
