name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
American Diamond Mang Tika,MGT-781-22-AD,American Diamond Royal design Tika embedded with beautiful green stone in center to give the Queens look,,,,,10,2500,2500,,,,,MGT-781-22-AD-01-(1).jpg,AD Mang Tika,American Diamond Royal design Tika embedded with beautiful green stone in center to give the Queens look
American Diamond Mang Tika,MGT-789-22-AD,A Great elegant Maang Tika with the drop pink pearl at the bottom for the today's women ,,,,,10,1650,1650,,,,,MGT-789-22-AD-01-(1).jpg,AD Mang Tika,A Great elegant Maang Tika with the drop pink pearl at the bottom for the today's women 
American Diamond Mang Tika,MGT-694-13-AD,Ethnic Maang Tika designed with beautiful American Diamonds covered with golden border & the stunning pearl at the bottom,,,,,10,1250,1250,,,,,MGT-694-13-AD-(1).jpg,AD Mang Tika,Ethnic Maang Tika designed with beautiful American Diamonds covered with golden border & the stunning pearl at the bottom
American Diamond Mang Tika,MGT-829-13-AD,A long thin beautiful & stunning Maang Tika compressed of American diamond & dazzling stone to give you a celebrity feel ,,,,,10,800,800,,,,,MGT-829-13-AD-01-(1).jpg,AD Mang Tika,A long thin beautiful & stunning Maang Tika compressed of American diamond & dazzling stone to give you a celebrity feel 
American Diamond Mang Tika,MGT-649-33-AD,A huge beautiful blue stone is throb of this Classic Maang Tika ,,,,,10,1100,1100,,,,,MGT-649-33-AD-01-(1).jpg,AD Mang Tika,A huge beautiful blue stone is throb of this Classic Maang Tika 
American Diamond Mang Tika,MGT-817-13-AD,Pearl is rare and precious too so as this Maang Tika a perfect thing to complete you beauty ,,,,,10,1050,1050,,,,,MGT-817-13-AD-01-(1).jpg,AD Mang Tika,Pearl is rare and precious too so as this Maang Tika a perfect thing to complete you beauty 
American Diamond Mang Tika,MGT-806-13-AD,Soothing & calm as moon this Maang Tika with half gold & white moon shape with crystal white stone will add the beauty in your style,,,,,10,1250,1250,,,,,MGT-806-13-AD-01-(1).jpg,AD Mang Tika,Soothing & calm as moon this Maang Tika with half gold & white moon shape with crystal white stone will add the beauty in your style
American Diamond Mang Tika,MGT-786-22-AD,Inspired from the royal era this Maang  Tika will give you the  feel of living in Royal era,,,,,10,1600,1600,,,,,MGT-786-22-AD-01-(1).jpg,AD Mang Tika,Inspired from the royal era this Maang  Tika will give you the  feel of living in Royal era
American Diamond Mang Tika,MGT-643-33-AD,Phenomenal design can be seen in this beautiful Maan Tika specially designed for the bride who live with the pride ,,,,,10,1600,1600,,,,,MGT-643-33-AD-01-(1).jpg,AD Mang Tika,Phenomenal design can be seen in this beautiful Maan Tika specially designed for the bride who live with the pride 
American Diamond Mang Tika,MGT-814-13-AD,Ethnic Maang Tika designed with beautiful American Diamonds covered with golden border & the stunning design at the bottom,,,,,10,1850,1850,,,,,MGT-814-13-AD-01-(1).jpg,AD Mang Tika,Ethnic Maang Tika designed with beautiful American Diamonds covered with golden border & the stunning design at the bottom
American Diamond Mang Tika,Tika-1087-16-AD,Sweet floral design Pink Maang Tika for the cutest women in you!,,,,,10,1550,1550,,,,,Tika-1087-16-AD-01-(1).jpg,AD Mang Tika,Sweet floral design Pink Maang Tika for the cutest women in you!
American Diamond Mang Tika,MGT-810-13-AD,Soothing & calm as moon this Maang Tika with half gold & white moon shape with pink stone will add the beauty in your style,,,,,10,1290,1290,,,,,MGT-810-13-AD-01-(1).jpg,AD Mang Tika,Soothing & calm as moon this Maang Tika with half gold & white moon shape with pink stone will add the beauty in your style
American Diamond Mang Tika,MGT-820-13-AD,Elegant & stunning those two words explain this exquisite Maang Tika ,,,,,10,1250,1250,,,,,MGT-820-13-AD-01-(2).jpg,AD Mang Tika,Elegant & stunning those two words explain this exquisite Maang Tika 
American Diamond Mang Tika,MGT-692-13-AD,Phenomenal design can be seen in this beautiful Maan Tika specially designed for the bride who live with the pride ,,,,,10,1150,1150,,,,,MGT-692-13-AD-01-(1).jpg,AD Mang Tika,Phenomenal design can be seen in this beautiful Maan Tika specially designed for the bride who live with the pride 
American Diamond Mang Tika,MGT-804-13-AD,A elegant Maang Tika with the pink stone at the bottom for the today's women ,,,,,10,790,790,,,,,MGT-804-13-AD-01-(1).jpg,AD Mang Tika,A elegant Maang Tika with the pink stone at the bottom for the today's women 
American Diamond Mang Tika,MGT-788-22-AD,The Pride of every women can be seen in this beautiful Maang Tika ,,,,,10,1450,1450,,,,,MGT-788-22-AD-01-(1).jpg,AD Mang Tika,The Pride of every women can be seen in this beautiful Maang Tika 
Micro Set,Set-9533-100-MC,The highly art skilled can be seen in this elegant necklace set top above the all is the Goddess Laxmi design in pendent & earrings ,,,,,10,11500,11500,,,,,"Set-9533-100-MC-01-(1).jpg , Set-9533-100-MC-01-(3) , Set-9533-100-MC-01-(4).jpg",Micro Set,The highly art skilled can be seen in this elegant necklace set top above the all is the Goddess Laxmi design in pendent & earrings 
Italian Jewellery Set,Set-5432-36-IJ,Elegant design makes this Necklace Set stunning.,,,,,10,18500,18500,,,,,"Set-5432-36-IJ-01-(1).jpg , Set-5432-36-IJ-01-(3).jpg , Set-5432-36-IJ-01-(5).jpg",Italian Pendant Set,Elegant design makes this Necklace Set stunning.
Italian Jewellery Pendant & Booties,PB-746-91-LGIJ,Inspired by the world's beautiful shades of design this Necklace set is perfect for a sophisticated party.,,,,,10,11500,11500,,,,,"PB-746-91-LGIJ--01-(1).jpg , PB-746-91-LGIJ--01-(3).jpg , PB-746-91-LGIJ--01-(4).jpg",Italian Pendant Set,Inspired by the world's beautiful shades of design this Necklace set is perfect for a sophisticated party.
American Diamond Pendant & Booties,PB-1665-70-AD,Design of this Necklace set is crafted for the enchanting beauty.,,,,,10,35500,35500,,,,,"PB-1665-70-AD-01-(1).jpg , PB-1665-70-AD-01-(3).jpg , PB-1665-70-AD-01-(4) , PB-1665-70-AD-01-(5).jpg , PB-1665-70-AD-01-(8).jpg , PB-1665-70-AD-01-(9).jpg",AD Pendant Set,Design of this Necklace set is crafted for the enchanting beauty.
American Diamond Pendant & Booties,PB-1682-70-AD,This beautiful Necklace set will adore your beauty & will add a classy look.,,,,,10,35500,35500,,,,,"PB-1682-70-AD-01-(1).jpg , PB-1682-70-AD-01-(3).jpg , PB-1682-70-AD-01-(4).jpg",AD Pendant Set,This beautiful Necklace set will adore your beauty & will add a classy look.
American Diamond Pendant & Finger ring,PFN-05-70-AD,Dazzling necklace set with contemporary design to charm anyone in the party.,,,,,10,35500,35500,,,,,"PFN-05-70-AD-01-(1)jpg , PFN-05-70-AD-01-(4).jpg , PFN-05-70-AD-01-(5).jpg",AD Pendant Set,Dazzling necklace set with contemporary design to charm anyone in the party.
American Diamond Pendant & Booties,PB-1866-24-AD,Forget Italy fashion or Paris fashion this Stunning Necklace set will take the world behind you.,,,,,10,36500,36500,,,,,"PB-1866-24-AD-01-(1).jpg , PB-1866-24-AD-01-(3).jpg , PB-1866-24-AD-01-(4).jpg",AD Pendant Set,Forget Italy fashion or Paris fashion this Stunning Necklace set will take the world behind you.
Italian Jewellery Pendant Set ,PDS-2529-52-IJ,"Ecstasy, Elegance or any synonym of this will described this charming Necklace set.",,,,,10,6000,6000,,,,,"PDS-2529-52-IJ-01-(1).jpg , PDS-2529-52-IJ-01-(3).jpg , PDS-2529-52-IJ-01-(4).jpg",Italian Pendant Set,"Ecstasy, Elegance or any synonym of this will described this charming Necklace set."
American Diamond Pendant Set,PFN-43-70-AD,Beauty with perfection can be seen in this elegantly designed necklace set.,,,,,10,39500,39500,,,,,"PFN-43-70-AD-01-(1).jpg , PFN-43-70-AD-01-(3).jpg , PFN-43-70-AD-01-(4).jpg",AD Pendant Set,Beauty with perfection can be seen in this elegantly designed necklace set.
Italian Jewellery Pendant Set ,PDS-2528-52-IJ,Cuteness is filled in this beautiful elegant necklace set.,,,,,10,5500,5500,,,,,"PDS-2528-52-IJ-01-(1).jpg , PDS-2528-52-IJ-01-(4).jpg , PDS-2528-52-IJ-01-(5).jpg",Italian Pendant Set,Cuteness is filled in this beautiful elegant necklace set.
American Diamond Pendant & Booties,PB-1681-70-AD,Beauty with perfection can be seen in this elegantly designed necklace set.,,,,,10,39500,39500,,,,,"PB-1681-70-AD-01-(1).jpg , PB-1681-70-AD-01-(3).jpg , PB-1681-70-AD-01-(4).jpg",AD Pendant Set,Beauty with perfection can be seen in this elegantly designed necklace set.
Italian Jewellery Pendant & Booties,PB-1871-24-IJ,A synonym of highness is this beautifully crafted necklace set.,,,,,10,37475,37475,,,,,"PB-1871-24-IJ-01-(1).jpg , PB-1871-24-IJ-01-(3).jpg , PB-1871-24-IJ-01-(4).jpg",Italian Pendant Set,A synonym of highness is this beautifully crafted necklace set.
Italian Jewellery Pendant & Finger ring,PFN-59-70-IJ,Especially handcrafted for the real occasion this exquisite necklace set is worth wearing.,,,,,10,35000,35000,,,,,"PFN-59-70-IJ-01-(2).jpg , PFN-59-70-IJ-01-(3).jpg , PFN-59-70-IJ-01-(4).jpg",Pendant Set,Especially handcrafted for the real occasion this exquisite necklace set is worth wearing.
American Diamond Pendant & Booties,PB-1639-70-AD,"Stuck at first sight so do the others, the unique necklace set will enhance your beauty for sure.",,,,,10,225000,22500,,,,,"PB-1639-70-AD-01-(1).jpg , PB-1639-70-AD-01-(3).jpg , PB-1639-70-AD-01-(4).jpg",AD Pendant Set,"Stuck at first sight so do the others, the unique necklace set will enhance your beauty for sure."
American Diamond Pendant Set ,PDS-2200-78-AD,"Artistic design at its best, a brilliant piece of art in this necklace set truly deserves the second look.",,,,,10,39500,39500,,,,,"PDS-2200-78-AD-01-(2).jpg , PDS-2200-78-AD-01-(4).jpg , PDS-2200-78-AD-01-(5).jpg ",AD Pendant Set,"Artistic design at its best, a brilliant piece of art in this necklace set truly deserves the second look."
American Diamond Pendant & Finger ring,PFN-42-70-AD,Beautiful diamond necklace with floral design for the fresh &elegant beauty,,,,,10,40500,40500,,,,,"PFN-42-70-AD-01-(1).jpg , PFN-42-70-AD-01-(3).jpg , ",AD Pendant Set,Beautiful diamond necklace with floral design for the fresh &elegant beauty
American Diamond Pendant & Finger ring    ,PFN-36-32-AD-IT,A classy contemporary design of necklace set to suite your classy look.,,,,,10,34500,34500,,,,,"PFN-36-32-AD-IT-01-(1).jpg , PFN-36-32-AD-IT-01-(3).jpg , ",AD Pendant Set,A classy contemporary design of necklace set to suite your classy look.
Italian Jewellery Pendant & Booties,PB-1869-24-IJ,The Contemporary design of this designer necklace will go on any attire you wear & be ready for any celebrations.,,,,,10,30700,307000,,,,,"PB-1869-24-IJ-01-(2).jpg , PB-1869-24-IJ-01-(3).jpg , PB-1869-24-IJ-01-(4).jpg , ",Italian Pendant Set,The Contemporary design of this designer necklace will go on any attire you wear & be ready for any celebrations.
American Diamond Pendant & Finger ring,PFN-09-70-AD,Dazzling design make this necklace so stunning that it can flaunt anyone.,,,,,10,33000,33000,,,,,"PFN-09-70-AD-01-(1).jpg , PFN-09-70-AD-01-(4).jpg , PFN-09-70-AD-01-(5).jpg",AD Pendant Set,Dazzling design make this necklace so stunning that it can flaunt anyone.
Italian Jewellery Set,Set-9439-52-IJ, Stunning beauty is enhanced in this dazzling Necklace set.,,,,,10,33500,33500,,,,,"Set-9439-52-IJ-01-(1).jpg , Set-9439-52-IJ-01-(3).jpg , Set-9439-52-IJ-01-(4).jpg",Italian Pendant Set, Stunning beauty is enhanced in this dazzling Necklace set.
Italian Jewellery Pendant Set ,PDS-1876-89-LG IJ,Beautiful designs are put together to evolve the beautiful & sparkling necklace set.,,,,,10,32000,32000,,,,,"PDS-1876-89-LGIJ-01-(1).jpg, , PDS-1876-89-LGIJ-01-(2).jpg , PDS-1876-89-LGIJ-01-(3).jpg",Italian Pendant Set,Beautiful designs are put together to evolve the beautiful & sparkling necklace set.
American Diamond Pendant & Booties,PB-1884-32-AD,So royal & so beautiful a masterpiece design of necklace set which is elegantly belongs to you.,,,,,10,35000,35000,,,,,"PB-1884-32-AD-01-(1).jpg , PB-1884-32-AD-01-(3).jpg , PB-1884-32-AD-01-(4).jpg",AD Pendant Set,So royal & so beautiful a masterpiece design of necklace set which is elegantly belongs to you.
American Diamond Pendant & Booties,PB-1632-70-AD,"Splendid in its own design, this emperor era look necklace set is the dream of every woman.",,,,,10,28500,28500,,,,,"PB-1632-70-AD-01-(1).jpg , PB-1632-70-AD-01-(3).jpg , PB-1632-70-AD-01-(5).jpg",AD Pendant Set,"Splendid in its own design, this emperor era look necklace set is the dream of every woman."
American Diamond Pendant & Booties,PB-1635-70-AD,A perfect look of rich era gives this necklace an elite look.,,,,,10,22500,22500,,,,,"PB-1635-70-AD-01-(2).jpg , PB-1635-70-AD-01-(4).jpg , PB-1635-70-AD-01-(5).jpg",AD Pendant Set,A perfect look of rich era gives this necklace an elite look.
Italian Jewellery Pendant Set ,PDS-2549-52-IJ,"Magical feel, isn't it? This Mind blowing necklace deserves to be worn around your neck.",,,,,10,25000,25000,,,,,"PDS-2549-52-IJ-01-(1).jpg , PDS-2549-52-IJ-01-(3).jpg , PDS-2549-52-IJ-01-(4).jpg",Italian Pendant Set,"Magical feel, isn't it? This Mind blowing necklace deserves to be worn around your neck."
