name,sku,description,url,metatitle,metadescription,metakeyword,quantity,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpricefrom,specialpriceto,image,category,productfeatures
Vilandi Set,Set-8820-57-VL,Designer Vilandi Set designed with Acute Diamond and Silver Gold Plated back Set Meenakari,,,,,10,9450,9450,,,,,"Set-8820-57-01 (1).jpg,Set-8820-57-01 (3).jpg",Vilandi Necklace Set,Designer Vilandi Set designed with Acute Diamond with Silver Gold Plated back Set Meenakari
American Diamond Pendent ,Set-9204-72-AD,Stunning Pendant designed with American Diamond and  Amberal Stone Silver With Gold Polish ,,,,,10,68500,68500,,,,,Set-9204-72-AD.jpg,AD Pendant Set,Stunning Pendant designed with American Diamond and Amberal Stone Silver With Gold Polish 
Vilandi Set,Set-9681-57-VL,Elegant Vilandi set designed with  Acute Diamond and  Fresh Water Pearl ,,,,,10,15600,15600,,,,,"Set-9681-57-01 (1).jpg,Set-9681-57-01 (2).jpg,Set-9681-57-01 (3)",Vilandi Necklace Set,Elegant Vilandi set designed with  Acute Diamond With Fresh Water Pearl 
Vilandi Pendent Set ,Set-2069-16-,Exquisite  Vilandi pendent Set designed with  Fresh Water Pearl and Meenakari,,,,,10,19500,19500,,,,,Set-2069-16-01.jpg,Vilandi Pendent Set ,Exquisite  Vilandi pendent Set designed with Acute Diamond With Fresh Water Pearl With Meenakari
Vilandi Set,Set-4363-16-VL,Designer viland set with Beautiful Acute Diamond and   Meenakari,,,,,10,21500,21500,,,,,"Set-4363-16-01 (1).jpg,Set-4363-16-01 (2).jpg,Set-4363-16-01 (3),jpg",Vilandi Necklace Set,Designer viland set with Beautiful Acute Diamond With  Meenakari
Vilandi Set,Set-8563-16-VL,Dazzling Vilandi set designed with Acute Diamond and Meenakari,,,,,10,14000,14000,,,,,"Set-8563-16-01 (1).jpg,Set-8563-16-01 (3).jpg,Set-8563-16-01 (4).jpg",Vilandi Necklace Set,Dazzling Vilandi set designed with Acute Diamond With  Meenakari
Vilandi Set ,Set-9171-56-VL,Beautifully designed Vilandi set designed with Acute Diamond and   Meenakari,,,,,10,11990,11990,,,,,"Set-9171-56-01 (1).jpg,Set-9171-56-01 (2).jpg,Set-9171-56-01 (1).jpg",Vilandi Necklace Set,Beautifully designed Vilandi set designed with Acute Diamond With  Meenakari
Vilandi Set,Set-4359-16-VL ,Elegant  Vilandi set designed with Acute Diamond and   Minakari,,,,,10,8995,8995,,,,,"Set-4359-16-01 (1).jpg,Set-4359-16-01 (2).jpg,Set-4359-16-01 .jpg",Vilandi Necklace Set,Elegant  Vilandi set designed with Acute Diamond With  Minakari
Vilandi Set,Set-9021-24-VL,Marvelous and magnificant  vilandi set  with Acute Diamond and  Meenakari,,,,,10,7850,7850,,,,,"Set-9021-24-01 (1).jpg,Set-9021-24-01 (3).jpg,Set-9021-24-01 (4).jpg",Vilandi Necklace Set,Marvelous and magnificant  vilandi set  with Acute Diamond With  Meenakari
Vilandi Set ,Set-4321-68-VL,A classy contemporary designed Vilandi set designed with Acute Diamond and Meenakari,,,,,10,9500,9500,,,,,"Set-4321-68-01 (1).jpg,Set-4321-68-01 (3).jpg,Set-4321-68-01 (4).jpg",Vilandi Necklace Set,A classy contemporary designed Vilandi set designed with Acute Diamond and Meenakari
Vilandi Set ,Set-9044-24-VL,Adorable Vilandi set designed with Acute Diamond and   Meenakari,,,,,10,11850,11850,,,,,"Set-9044-24-01 (1).jpg,Set-9044-24-01 (2).jpg,Set-9044-24-01 (3).jpg",Vilandi Necklace Set,Adorable Vilandi set designed with Acute Diamond With  Meenakari
Vilandi Set ,Set-8766-57-VL ,Unique designer Vilandi set designed with Acute Diamond and   Meenakari,,,,,10,11000,11000,,,,,"Set-8766-57-01 (1).jpg,Set-8766-57-01 (3).jpg,Set-8766-57-01 (4).jpg",Vilandi Necklace Set,Unique designer Vilandi set designed with Acute Diamond With  Minakari
Vilandi Set ,Set-9172-56-VL,Artistic designed Vilandi set designed with Acute Diamond and Meenakari,,,,,10,10650,10650,,,,,"Set-9172-56-01 (1).jpg,Set-9172-56-01 (3).jpg",Vilandi Necklace Set,Artistic designed Vilandi set designed with Acute Diamond With  Meenakari
Vilandi Set ,Set-9155-55-VL,Mystical designed Vilandi set designed with Acute Diamond and   Meenakari,,,,,10,14000,14000,,,,,"Set-9155-55-01 (1).jpg,Set-9155-55-01 (3).jpg,Set-9155-55-01 (4).jpg",Vilandi Necklace Set,Mystical designed Vilandi set designed with Acute Diamond With  Meenakari
Vilandi Set ,Set-9045-24-VL,Fashionable Vilandi set designed with Acute Diamond and Meenakari,,,,,10,13500,13500,,,,,"Set-9045-24-01 (1).jpg,Set-9045-24-01 (2).jpg",Vilandi Necklace Set,Fashionable Vilandi set designed with Acute Diamond and Meenakari
Vilandi Set ,Set-8476-56-VL,The complete dazzling Vilandi set designed with Acute Diamond and Meenakari,,,,,10,5395,5395,,,,,"Set-8476-56-021 (1).jpg,Set-8476-56-021 (3).jpg,Set-8476-56-021 (4).jpg",Vilandi Necklace Set,The complete dazzling Vilandi set designed with Acute Diamond and Meenakari
Vilandi Set ,Set-8801-57-VL ,A classy contemporary designed Vilandi set designed with Acute Diamond and Meenakari,,,,,10,4950,4950,,,,,"Set-8801-57-01 (1).jpg,Set-8801-57-01 (5).jpg,Set-8801-57-01 (6).jpg",Vilandi Necklace Set,A classy contemporary designed Vilandi set designed with Acute Diamond and Meenakari
Vilandi Set ,Set-8562-16-VL ,Stunning Vilandi set designed with Acute Diamond and Meenakari,,,,,10,14000,14000,,,,,"Set-8562-16-01 (1).jpg,Set-8562-16-01 (3).jpg,Set-8562-16-01 (4).jpg",Vilandi Necklace Set,Elegant Vilandi set designed with Acute Diamond and Meenakari
